idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation
CRS3035RES200mN2834200E4139600,53.45,11.4,-1.0,100.0,0.0,0.0,0.0,0.0,53.45,0.0,0.0,80.37,2.28,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.04,3.34,0
CRS3035RES200mN2834000E4139600,9.31,25.78,-1.0,100.0,0.0,0.0,0.0,0.0,9.31,0.0,0.0,100.0,0.9,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.49,0
CRS3035RES200mN2833800E4139600,44.56,17.3,-1.0,100.0,0.0,0.0,0.0,0.0,44.56,0.0,0.0,88.16,2.42,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.02,0
CRS3035RES200mN2834400E4139800,54.73,23.53,-1.0,95.03,0.0,0.0,0.0,0.0,54.73,0.0,0.0,66.92,0.39,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.79,3.19,0
CRS3035RES200mN2834200E4139800,40.41,2.08,-1.0,100.0,0.0,0.0,0.0,0.0,40.41,0.0,0.0,0.0,0.3,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.03,0
CRS3035RES200mN2834000E4139800,58.87,43.01,-1.0,100.0,0.0,0.0,7.899861357433178e-06,0.0,58.87,0.0,0.0,43.57,0.6,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.41,0
CRS3035RES200mN2833800E4139800,70.5,23.18,-1.0,71.45,0.0,0.0,7.899861357433178e-06,0.0,70.5,0.0,0.0,28.89,1.51,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.98,0
CRS3035RES200mN2833600E4139800,64.65,27.34,-1.0,80.1,0.0,0.0,2.764951475101612e-05,0.0001931248,64.65,0.0,0.0,29.18,0.62,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.22,0
CRS3035RES200mN2834400E4140000,30.65,10.94,-1.0,100.0,0.0,0.0,0.0,0.0,30.65,0.0,0.0,90.0,1.16,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.96,1.53,0
CRS3035RES200mN2834200E4140000,54.32,7.35,-1.0,100.0,0.0,0.0,0.0,0.0,54.32,0.0,0.0,0.0,1.01,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.25,0
CRS3035RES200mN2834000E4140000,35.99,23.83,-1.0,100.0,0.0,0.0,2.764951475101612e-05,0.0,35.99,0.0,0.0,0.0,1.41,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.51,0
CRS3035RES200mN2833800E4140000,72.22,19.03,-1.0,100.0,0.0,0.0,2.764951475101612e-05,0.0,72.22,0.0,0.0,38.49,4.62,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.73,0
CRS3035RES200mN2833600E4140000,51.96,11.4,-1.0,34.85,0.0,0.0,2.764951475101612e-05,0.0001931248,51.96,0.0,0.0,18.64,2.52,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.97,0
CRS3035RES200mN2833400E4140000,53.83,33.91,-1.0,100.0,0.0,0.0,3.55493761084493e-05,0.0004384087,53.83,0.0,0.0,0.0,3.61,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,2.5896202839881255e-06,0.0,0.0,0.0,0.0,100.0,0.0,3.21,0
CRS3035RES200mN2833200E4140000,53.28,43.38,-1.0,0.0,0.0,0.12,3.55493761084493e-05,0.0004384087,53.28,0.0,0.0,0.0,0.0,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,0.4545,0.0,0.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,7.121358962451178e-06,0.0,0.0,0.0,0.0,100.0,0.0,2.63,0
CRS3035RES200mN2834600E4140200,59.6,22.15,-1.0,65.97,0.0,0.0,0.0,0.0,59.6,0.0,0.0,65.97,0.83,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.06,3.65,0
CRS3035RES200mN2834400E4140200,18.93,31.99,-1.0,100.0,0.0,0.0,0.0,0.0,18.93,0.0,0.0,0.0,1.12,0.0,2.764951475101612e-05,0.0004573739,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,100.0,0,-1.0,0.0,-1.0,0.0,0.0002,100.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.41,0.76,0
