idINSPIRE,part_surface_pietonne,part_vegetation,ratio_hl_bati_rues,part_routes_lentes,part_routes_inaccessibles_vl,part_parcs,marche_ratio_emplois,marche_ratio_services_dom_moyenne,part_surface_cyclable,part_normalise_surface_couverte_stations_velos,part_routes_interdites_pl,part_routes_pavees,pente_moyenne_absolue,part_normalise_couverte_stations_rep_velos,velos_ratio_emplois,velos_ratio_services_dom_moyenne,att_moy_semaine_bus,cout_horaire_bus,ratio_arrets_pr_bus,ratio_arrets_autopartage_bus,part_routes_bus,part_batie_autour_arrets_bus,att_moy_semaine_tram,cout_horaire_tram,ratio_arrets_pr_tram,ratio_arrets_autopartage_tram,part_routes_tram,part_batie_autour_arrets_tram,part_sens_unique,part_zfe,nb_feux_circulation,places_stationnement_par_habitant,cout_moyen_stationnement,bornes_ve_par_habitant,part_normalise_couverte_autopartage,autopartage_cout_rapport_revenu,part_routes_accessibles_vl,part_surface_geofencing_citiz,autopartage_ratio_emplois,autopartage_ratio_services_dom_moyenne,HSMI_global,HEMI,part_marche,part_velos,part_communs,part_vl,part_surface_bruit_53db,part_surface_transport,nb_accidents_circulation,sous_indic_access,ind_compose_marche,ind_compose_velos,ind_compose_bus,ind_compose_tram,ind_compose_vl,ind_compose_autopartage,ind_diversite_fonctionnelle,ind_schema_mobilite
CRS3035RES200mN2834200E4139600,0.53,0.13,-1.0,1.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.2,0.89,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.97,0.97,1.0,,0.277,0.182,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834000E4139600,0.09,0.28,-1.0,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.96,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,,0.228,0.161,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833800E4139600,0.45,0.19,-1.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.12,0.88,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.98,1.0,,0.273,0.167,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834400E4139800,0.55,0.26,-1.0,0.95,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.33,0.98,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.74,0.97,1.0,,0.293,0.219,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834200E4139800,0.4,0.02,-1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.98,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.98,1.0,,0.237,0.331,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834000E4139800,0.59,0.47,-1.0,1.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.56,0.97,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.97,1.0,,0.343,0.256,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833800E4139800,0.7,0.25,-1.0,0.71,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.71,0.92,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.95,1.0,,0.277,0.272,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2833600E4139800,0.65,0.3,-1.0,0.8,0.0,0.0,0.0,0.01,0.65,0.0,0.0,0.71,0.97,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.96,1.0,,0.292,0.281,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834400E4140000,0.31,0.12,-1.0,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.1,0.94,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.99,0.98,1.0,,0.238,0.174,0.0,0.0,0.75,0.418,-1.0,-1.0
CRS3035RES200mN2834200E4140000,0.54,0.08,-1.0,1.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,1.0,0.95,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.67,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.97,1.0,,0.27,0.326,0.0,0.0,0.75,0.418,-1.0,-1.0
