"id","nom_groupe","tags","localisation","localisation_type","begin_date_year","type"
15,Éric Serra,"soundtrack, film composer, european, french",Saint-Mandé,3,1959,1
911,Air,"downtempo, soundtrack, pop, alternative rock, chillout, ambient, jazz, trip-hop, the lost generation, electronic, space music., french, experimental, idm, france, français, indie rock, electronica, producer, composer, lyricist, 2000s, film score, trip hop, european, parolier, producteur, compositeur, dance and electronica, space age pop, ambient pop",Versailles,3,1995,2
971,Mr. Oizo,"tech house, electro, vocoder, electronica, european, electro house, french house, experimental electronic, fidget house, instrumental hip hop, french, electronic, wonky techno, french electro",Paris,3,1974,1
1077,Manu Chao,"punk, folk, french, rock, electronic, latin alternative rock, latin alternative, multiple ipi, 10s, 00s, european, english, latin, rap, 80s, worldbeat, world, spanish, country, reggae, france, ska, 90s",Paris,3,1961,1
1137,Les Rita Mitsouko,"creeque alley, rock, pop rock",Paris,3,1980,2
1264,Cassius,"electropop, dance, edm, french house, electro house, funky house, french, electronica, electronic, french electro, nu disco, dance and electronica",Paris,3,1996,2
1664,Étienne Daho,"pop rock, synth-pop, todo-works, french, pop",Oran,3,1956,1
1845,Gipsy Kings,"rumba, 10s, flamenco pop, rumba catalana, rumba flamenca, oye com va, electronic, 80s, 90s, folk, dance, france, guitar, spanish, flamenco, acoustic, spain, latin, ethnic, 00s, tropical, classic pop and rock",Arles,3,1978,2
1999,Zebda,"todo-works, french, france",Toulouse,3,1985,2
2043,Bob Sinclar,"dance-pop, dance and electronica, hip house, electro house, french house, electronic, house",Douarnenez,3,1967,1
2096,Deep Forest,"downtempo, electronic, ethnic electronica, world music, new age, world, ambient",Arleux,3,1992,2
2143,Kent,"todo-works, rock, french",Lyon,3,1957,1
2233,Dimitri From Paris,"electronica, house, lounge, downtempo, shibuya-kei",Istanbul,3,1963,1
2564,Saez,"nouvelle chanson française, français, rock, francophone, contemporary folk, alternative rock, french, singer-songwriter, post-punk, france",Saint-Jean-de-Maurienne,3,1977,1
2581,Pierpoljak,"reggae, seen live",Paris,3,1964,1
2584,Kassav’,"90s, 80s, zouk",Paris,3,1979,2
2585,Renaud,"france, chanson, chanson française, français, francophone, french",Paris,3,1952,1
3163,DJ Cam,"hip hop, electronic, instrumental, downtempo, instrumental hip hop",Paris,3,1973,1
3190,Yann Tiersen,"accordéoniste, accordionist, french, soundtrack, france, rock and indie, european, avant-garde, composer, instrumental, français, francophone, rock, minimalism, modern classical",Brest,3,1970,1
3192,Louise Attaque,"folk rock, rock, alternative rock, french, chanson française, todo-works, nouvelle chanson française",Paris,3,1994,2
3283,Jean‐Michel Jarre,"electronic, space music, classic pop and rock, french, france, francophone, français, lyon, electronica, new age, progressive trance, ambient, instrumental, european, progressive electronic",Lyon,3,1948,1
3522,Soldat Louis,"celtic rock, breton",Lorient,3,1987,2
4125,Johan Asherton,french,Paris,3,1958,1
5526,Christian Jacob,jazz,Lorraine,2,1958,1
5871,Le Syndicat,"power electronics, france, noise, industrial",Île-de-France,2,1982,2
6625,Penumbra,gothic metal,Paris,3,1996,2
8870,Burning Heads,"punk rock, reggae, french",Orléans,3,1988,2
9098,Laurent Garnier,"warp, electronic, french, techno, european, dance and electronica",Boulogne-Billancourt,3,1966,1
9168,Dark Sanctuary,"dark ambient, neoclassical dark wave, neoclassical darkwave, neoclassical",Paris,3,1996,2
9250,Miss Kittin & the Hacker,electroclash,Grenoble,3,1997,2
9616,Éliane Radigue,"musique concrète, composer, electroacoustic, contemporary classical, experimental electronic",Paris,3,1932,1
9670,Jean-Louis Aubert,"rock, french",Nantua,3,1955,1
9783,Magma,"artificial language, progressive rock, french, experimental, zeuhl, progressive, jazz rock, avant-garde, jazz-rock, european, likedis",Paris,3,1969,2
10275,MC Solaar,"jazz rap, boom bap, fr, hip hop rnb and dance hall, todo-works, european, pop rap, hiphop, hip hop, french, french hip hop, conscious hip hop",Dakar,3,1969,1
10366,Sinclair,"3131952",Tours,3,1970,1
10558,Eddy Mitchell,"rock and roll, pop, french, chanson française, country rock, todo-works",Paris,3,1942,1
10636,Era,"ambient, new age",France,1,1996,2
10851,Yo‐Yo Ma,"cello, cellist, classical",Paris,3,1955,1
11399,Christophe Rousset,"classical, harpsichordist, french harpsichordist",Aix-en-Provence,3,1961,1
11633,Gabriel Yared,"soundtrack, academy award winner",Beirut,3,1949,1
12084,Saint-Preux,"contemporary classical, composer, french",Paris,3,1950,1
12279,Pascal Rogé,"french pianist, european, pianist, piano, classical, french",Paris,3,1951,1
12336,Têtes Raides,"composer, français, francophone, france, french, alternative rock, todo-works, compositeur, folk rock",Paris,3,1984,2
12382,Éric Lévi,"french, compositor",Paris,3,1955,1
12414,Laurent Voulzy,"singer songwriter, todo-works, french, french singer, aln-sh, guitarist singer songwriter, chanson française",Paris,3,1948,1
14803,Francis Cabrel,"french, singer-songwriter, todo-works",Agen,3,1953,1
15099,Alex Gopher,"mastering, deep house",Yvelines,2,1969,1
15694,Mylène Farmer,"producer, lyricist, pop, france, french, français, remix, electropop, europop, producteur, parolier, singer-songwriter, canadian, francophone",Pierrefonds,3,1961,1
15841,Véronique Sanson,"todo-works, singer-songwriter, french singer, pop female singer-songwriter, french composer, french, french pianist, chanson française",Boulogne-Billancourt,3,1949,1
20187,Sinsémilia,"reggae, french",Grenoble,3,1990,2
20259,Kid Loco,"bobo sinclair, d",Antony,3,1964,1
21018,Vanessa Paradis,"nouvelle chanson française, pop soul, french pop, european, rock and indie, sophisti-pop, pop, french, pop rock",Saint-Maur-des-Fossés,3,1972,1
21058,Julien Clerc,"french pop, chanson française, french singer, french",Paris,3,1947,1
21555,Kaoma,"latin, lambada, dance",Paris,3,1989,2
21803,Thomas Fersen,"singer-songwriter, french, jazz, chanson française",Paris,3,1963,1
21834,Massilia Sound System,"raggamuffin, ragga hip-hop, rub-a-dub, reggae, occitan",Marseille,3,1984,2
21920,Dan Ar Braz,breton,Bretagne,2,1949,1
21971,Dominique A,"indie pop, acoustic, indie rock, singer-songwriter, chanson, french singer, slam poetry",Provins,3,1968,1
22000,No One Is Innocent,"rap metal, alternative rock, french, industrial metal, alternative metal, rap rock",Paris,3,1994,2
22015,Moos,"french pop, pop, chanson",Toulouse,3,1974,1
22112,Henri Texier,"french, jazz, hard bop",Paris,3,1945,1
22127,Trust,"classic rock, todo-works, french, heavy metal, rock, metal, france, francophone, français, hard rock",Paris,3,1977,2
22164,Hubert-Félix Thiéfaine,"rock, seen live",Dole,3,1948,1
22571,Patrick Bruel,"todo-works, pop, french, singer-songwriter",Tlemcen,3,1959,1
22826,Jim Murple Memorial,"ska, r&b",Montreuil,3,1996,2
22910,William Sheller,"french composer, french pop, rock, french pianist, 70's, variété",Paris,3,1946,1
23002,Art Zoyd,"rock in opposition, progressive rock, avant-garde",Valenciennes,3,1969,2
23254,Patricia Kaas,"jazz, french, chanson française, female vocalists, french rock",Forbach,3,1966,1
23478,Richard Clayderman,"french, instrumental, oscar, european, pianist, easy listening",Paris,3,1953,1
23495,Erik Truffaz,"trompette, trumpet, français, french, jazz and blues, jazz, acid jazz",Chêne-Bougeries,4,1960,1
23666,Troublemakers,"electronic, easy listening, elevator music",Marseille,3,,2
23701,Matmatah,"rock, alternative rock, french, pop rock, celtic rock",Brest,3,1995,2
23916,Hélène Ségara,"french, pop",Six-Fours-les-Plages,3,1971,1
24058,Alizée,"chanson, world music, electronica, singer, hip hop, français, francophone, france, dance, french, pop, rock, n2, chanteur, european, french pop",Ajaccio,3,1984,1
30270,Brigitte Fontaine,"parolier, todo-works, lyricist, french",Morlaix,3,1939,1
30281,Axel Bauer,"singer-songwriter, pop rock, rock",Paris,3,1961,1
30471,David Guetta,"tech house, french house, edm, electropop, house, dance, electronic, eurodance, electro house, dance-pop, seen live, progressive house, english, festival progressive house, future rave, dance and electronica",Paris,3,1967,1
30502,Cerrone,"vocal house, disco, electronic, euro-disco, electro-disco",Vitry-sur-Seine,3,1952,1
30756,Étienne de Crécy,"french house, house, electronic, electro house, dance and electronica",Lyon,3,1969,1
31785,St Germain,"downtempo, jazz, electronic, nu jazz, acid jazz, electronica, deep house, house",Saint-Germain-en-Laye,3,1973,1
32115,Emmanuel Top,"acid techno, electronic, techno",Lille,3,1971,1
32329,Jean-Jacques Goldman,"rock, chanson française, french singer, singer-songwriter, french, todo-works, french rock",Paris,3,1951,1
32618,Arthur H,"french, todo-works, todo-live",Paris,3,1966,1
32673,Zazie,"nouvelle chanson, pop, nouvelle chanson française, pop rock, french pop",Boulogne-Billancourt,3,1964,1
33070,Bertrand Burgalat,"psychedelic rock, claviériste, keyboardist, french pop, psychedelic pop, indie pop",Bastia,3,1963,1
33101,Raphaël,"pop, singer-songwriter",Paris,3,1975,1
33429,Paris Combo,"swing, jazz, gypsy jazz, chanson française, pop",Paris,3,1995,2
33660,F.R. David,"house, synthpop, dance-pop, europop, latin pop",Bizerte,2,1947,1
34197,Superfunk,french,Marseille,3,1998,2
34206,Clémentine,"chanson française, vocal jazz",Paris,3,1963,1
34563,Jean‐Luc Ponty,"fusion, jazz rock, jazz fusion, germany, jazz",Avranches,3,1942,1
34658,Michel Jonasz,"chanson française, french singer, singer-songwriter, soul, jazz, french",Drancy,3,1947,1
34764,Les Nubians,"neo soul, contemporary r&b",Paris,3,1998,2
35133,Gong,"canterbury scene, avant-prog, jazz fusion, space rock, experimental rock, psychedelic rock, jazz rock, progressive rock, club arc en ciel live 1973",Paris,3,1966,2
35183,Shazz,"jazz, house, soul, nu jazz, electro house",Dunkerque,3,1967,1
35191,Gotan Project,"world, tango, electrotango, electronic, downtempo",Paris,3,1999,2
35382,Sergei Nakariakov,trumpet,Nizhny Novgorod,3,1977,1
35395,Miossec,"acoustic, indie rock, breton",Brest,3,1964,1
35603,Indochine,"synth-pop, french pop, pop rock, français, rock, new wave, french, alternative rock, pop, synthpop, france, francophone",France,1,1981,2
35686,Mirwais,"post-punk, house, new wave, rock, electro",Lausanne,3,1960,1
36009,Télépopmusik,"electronic, downtempo",Paris,3,1998,2
36247,Maxime Le Forestier,"french, french singer, singer-songwriter",Paris,3,1949,1
36275,Alain Genty,"indie folk, celtic",Nogent-sur-Seine,3,1958,1
36839,Ange,"le couteau suisse, ange, progressive rock, european, french",Belfort,3,1969,2
36925,Steve Waring,french,Abington Township,3,1943,1
37628,Amanda Lear,"disco, italian pop, rock, italo-disco, singer, pop, jazz, french, easy listening, actress, sexy",Ho Chi Minh,3,1939,1
37862,Amina,arabic,Tunis,2,1962,1
38085,Merzhin,"français, francophone, celtic rock, france, brittany, bretagne, breizh, breton, french, rock",Landerneau,3,1996,2
39237,Dagoba,"industrial metal, french, groove metal, french metal, metal",Marseille,3,1997,2
39567,Jacques Dutronc,"french, french singer, todo-works, j aime les filles, yé-yé, rock and indie, european, pop rock, singer-songwriter",Paris,3,1943,1
40411,Florent Pagny,"singer-songwriter, pop rock, french pop, todo-works, pop, french, chanson française",Chalon-sur-Saône,3,1961,1
40558,Expression Direkt,hip hop,Mantes-la-Jolie,3,,2
40559,Assassin,"hiphop, fr, hip hop",Paris,3,1985,2
40561,Timide et sans complexe,hip hop,Vitry-sur-Seine,3,1990,2
40755,‐M‐,"chanson française, composer, lyricist, producer, french, sillyname, rock, madonna, arrangeur, producteur, compositeur, parolier, arranger, pop rock",Boulogne-Billancourt,3,1971,1
40885,Étienne Charry,french,Toulouse,3,1962,1
40913,Shurik’n,hip hop,Miramas,3,1966,1
40937,Sté Strausz,hip hop,Val-de-Marne,2,1977,1
40940,Oxmo Puccino,"francophone, français, hip hop, french, france",Ségou,2,1974,1
40943,Akhenaton,"french, hip hop, dj james",Marseille,3,1968,1
40945,Doc Gynéco,hip hop,Clichy-sous-Bois,3,1974,1
41201,Les Sages Poètes de la Rue,hip hop,Boulogne-Billancourt,3,1987,2
41641,Fonky Family,hip hop,Marseille,3,,2
41927,Lofofora,"rock, french",Paris,3,1989,2
42036,Jean-Pierre Alarcen,"progressive rock, symphonic prog",France,1,1944,1
42066,The Youngsters,"dance and electronica, techno, tech house",Montpellier,3,,2
42086,Lââm,"pop, french, soul",Paris,3,1971,1
42441,Julie Zenatti,french,Paris,3,1981,1
42485,Jannick Top,"post-bop, zeuhl, jazz",Marseille,3,1947,1
42948,Bruno Coulais,"composer, film composer, french",Paris,3,1954,1
43335,No Return,"death metal, thrash metal",Paris,3,1989,2
43511,Juliette,"chanson française, singer-songwriter",Paris,3,1962,1
43549,Desireless,"synth-pop, french pop, synthpop, french",Paris,3,1952,1
44103,Marc Lavoine,"french, pop, todo-works, french pop, chanson française",Longjumeau,3,1962,1
45364,Sanseverino,"french, chanson française, gypsy jazz",Paris,3,1961,1
45628,Richard Galliano,"french folk music, musette, jazz, tango, tango nuevo",Le Cannet,3,1950,1
45896,Alan Stivell,"celtic harp, breton, celtic, medieval, folk, folk rock, prog folk, progressive folk, celtic rock, progressive, harp",Riom,3,1944,1
46180,Zenzile,"rock, electro, dub, reggae, france",Angers,3,1995,2
46272,Jacky Terrasson,jazz,Berlin,3,1965,1
46278,Jean C. Roché,"field recording, nature sounds, birdsong, french",Boulogne-Billancourt,3,1931,1
46549,Mireille Mathieu,"french, european, schlager, french singer",Avignon,3,1946,1
46580,Sylvie Vartan,"french, yé-yé, pop",Sofia,2,1944,1
46619,Nuttea,ragga,Guadeloupe,1,1968,1
47211,Miss Kittin,"electro pop, electronica, electroclash",Grenoble,3,1973,1
47895,Jazzy,thai,Gelsenkirchen,3,1975,1
49504,Bénabar,french,Thiais,3,1969,1
49765,Benjamin Biolay,"francophone, french, france, français, chanson française, chanson",Villefranche-sur-Saône,3,1973,1
49766,Sébastien Tellier,"french, français, dance and electronica, synthpop, france, francophone",Le Plessis-Bouchard,3,1975,1
50491,Martin Solveig,"house, future house, electronic, dance and electronica, dance, edm, electro house",Paris,3,1976,1
50632,Ricky Shayne,schlager,Cairo,3,1944,1
