"name","type","address","coordinates"
Studio Dieulafoy,1,"",
The Vega Station,1,"",
Chapter VI Home Studio,1,"",
The Resistance D Studios,1,"",
Studio Résonance,1,"",
PHL Studio,1,"",
Decca Studio,1,"",
Caux Station,1,"",
Studio 440,,"",
Musique action festival,,"",
Double H Studio,1,"",
Kerzat-Kerzat,1,"",
Studio Arcoluz,1,"",
Studio 123,1,La Frinière - 35510 Cesson-Sévigné - France,
Studio Besco,1,"",
The Grésigne,3,"","(44.02743,1.748543)"
Omegart Studio,1,"",
Botanik Sound Lab Studios,1,"",
Rivière d'Ain,3,"",
Empty Fields Room,1,"",
Studio Son DK,1,"",
Studio Watchtower,1,"",
Le Ventre de la Baleine,,"",
StudioE,1,"",
Studio Universal Music France,1,"",
Studio D'un Son à l'Autre,1,"",
Red Reed Studio,1,"",
Totorro's house,,"",
Studio Parisign,1,"",
Ekongolo Studio,,"",
Colorsound Studios,1,"",
Studio l'abeille rôde,1,"",
Studio SCOOT,1,"",
The Blue House,1,"",
Studio Basalte,1,"",
Les Studios Saint Germain,1,"54 rue de Seine, 75006 Paris","(48.854081,2.336895)"
Studio The Hatch,1,"",
Les Rossignols,,"",
Sonic Contact,1,"",
studio Le Matin Calme,1,"",
Grange de la Besnardière,,"",
Tapadlafunk Studio,1,"",
Coreprod Studio,1,"",
Les Locaux Rock,,"",
Black Bear Studio,1,"",
Electric Room Mastering,1,"",
Studio Le Phonographe,1,"",
Altom Studios,1,"",
Mechanik Castle,1,"",
CCMIX,,"",
Jump Start Studios,1,"",
Portard Hurlant,,Bièvres,
Shaw Recording Studio,1,"",
Les Caves Des Poiteviniere,1,"",
Studio Patrick Brugalières,1,"",
Studio Mesa,1,"",
Studio des trois canards,1,"",
Studio French Bakery,1,"",
Island Studio,1,"",
Infinium Studio,1,"",
Lafayette Velvet Basement,1,"",
Cave du Hot Club de France,2,"",
Superhero Studio,1,"",
Studio Le Reclaud,1,"",
Studio Harmonie,1,"",
Studio 13+,1,"",
MII Recording Studio,1,"",
L'Igloo Cybernétique,,"",
Polyphone Records,1,"3 Rue de la muscadière, 63320 Chadeleuf, France","(45.587232,3.175656)"
Jam Studios,1,"",
Studio Heben,1,"",
Le Gamounet,2,"40 rue de la République, 63200 Saint Bonnet près Riom",
Super Sonic Scale,1,"",
Studio Chauvière,1,"",
Studio Jugy,1,"",
Solid Studios,1,"",
Darling Studios,1,"",
Théâtre Municipal,2,"1 Place du Theatre, 59200 Tourcoing","(50.720772,3.15351)"
Perception Mastering,1,"",
"4-Motion Studio",1,"",
Studio Fracture,1,"",
Studio Little,1,"75020 Paris",
Ircamera,1,"",
MEL Studio,1,"95, avenue Michel Bizot, 75011 Paris",
Jondy Studio,1,"",
Studio Polysound,1,"",
studio Potart,1,"1 bis place de l’église, 18500 Marmagne","(47.10224,2.28424)"
Popcultur Studios,1,"",
Le Métronome,2,Rozay-en-Brie,"(48.681611,2.960987)"
Mix Home At Oz,1,Valréas (84),
Studio Suaucourt,1,"",
Studio Mons,1,"",
Studio Le Nodal,1,"2 place du général Jouffreaud, 07100 Annonay","(45.244273,4.659984)"
Shunt,1,"",
Le Mobile,1,"",
MasterMix Labs,1,"",
Fondation Louis Vuitton,3,"8 avenue du Mahatma Gandhi, 75016 Paris","(48.876667,2.263333)"
Château du Verger-au-Coq,,"",
Altar Records Studios 5,,"",
Studio Probam,1,"",
CO2 Lab,1,"",
Studio de la Limite,1,"",
Lor-Disc,8,"Zone Industrielle 88470, Saint-Michel-sur-Meurthe",
Studio Synthésis,1,"",
Studio Crystal,1,"",
Studio Transat,1,"",
Chateau Couronneau,3,"",
Milk Shake Records,1,"",
Studio Uniweria Zekt,1,"",
Studio Buzz,1,"65 rue de Dunkerque, 75009 Paris, France",
Studio 1616,1,"",
Studio des Murmures,1,"",
La Garçonnière,,"",
Studio NovaSon,1,"Avenue des Fontaines, 30320 Poulx","(43.913319,4.414177)"
Seine,3,"","(49.434722,0.1175)"
Life Extension Studio,1,"",
Charly's Laboratory's Records,1,"",
Pourriture Noble Studio,1,"",
Villa des Charmilles,1,"",
Le Voyageur,1,"c/o [b]Dushow[/b], 18 rue du Meunier, ZAC du Moulin, 95734 Roissy CDG Cedex, Phone: +33 (0)1 34 38 25 45, Fax: +33 (0)1 34 38 25 00, Business Officers : Lawrence Alexander Israel, laurent@levoyageur.com",
Canal 93,1,"",
Thulê Studios,1,"",
Studio la Kapsule,1,"Studios La Kapsule, 50 avenue du Colonel Fabien, 93100 Montreuil - France",
Feather Studio,1,"",
Studio Scarlett,1,"",
Jouffreau's Chalet,1,"",
