"annee","nb_artistes"
1900,44
1901,45
1902,31
1903,59
1904,32
1905,37
1906,46
1907,39
1908,48
1909,33
1910,45
1911,43
1912,45
1913,33
1914,29
1915,24
1916,27
1917,37
1918,39
1919,45
1920,88
1921,90
1922,77
1923,66
1924,81
1925,68
1926,60
1927,77
1928,71
1929,71
1930,85
1931,62
1932,74
1933,61
1934,70
1935,68
1936,64
1937,55
1938,89
1939,76
1940,72
1941,64
1942,82
1943,84
1944,92
1945,89
1946,118
1947,148
1948,122
1949,91
1950,106
1951,77
1952,97
1953,113
1954,77
1955,93
1956,104
1957,97
1958,94
1959,123
1960,85
1961,129
1962,117
1963,105
1964,112
1965,86
1966,92
1967,77
1968,107
1969,103
1970,116
1971,96
1972,130
1973,149
1974,144
1975,129
1976,106
1977,131
1978,131
1979,132
1980,112
1981,138
1982,121
1983,101
1984,101
1985,107
1986,89
1987,88
1988,74
1989,95
1990,93
1991,86
1992,94
1993,76
1994,75
1995,89
1996,105
1997,86
1998,92
1999,91
2000,85
2001,80
2002,75
2003,63
2004,73
2005,79
2006,90
2007,71
2008,82
2009,63
2010,79
2011,86
2012,70
2013,90
2014,81
2015,97
2016,61
2017,55
2018,41
2019,43
2020,19
2021,25
2022,20
2023,14
2024,6
2025,1
