"name","nb_groupes"
black metal,181
rock,122
french,110
metal,98
death metal,54
france,52
punk,47
electronic,40
stoner rock,38
psychedelic rock,31
progressive rock,28
hip hop,28
doom metal,27
indie rock,26
pop,25
progressive metal,22
electro,22
français,21
jazz,21
reggae,20
alternative rock,20
atmospheric black metal,20
heavy metal,20
punk rock,20
stoner,20
experimental,19
post-punk,19
pop rock,18
coldwave,18
darkness,18
ambient,18
new wave,17
post-rock,17
francophone,17
death,17
noise,16
thrash metal,16
satanism,16
folk,16
occultism,16
dub,16
doom,15
hardcore,14
post-metal,14
ska,14
post-hardcore,14
instrumental,14
sludge,13
hard rock,12
alternative,12
garage rock,12
psychedelic,12
war,11
sludge metal,11
shoegaze,11
hardcore punk,11
heavy rock,11
stoner metal,11
gothic metal,10
breton,10
funk,10
nihilism,10
melodic death metal,10
french pop,10
indie pop,10
nature,9
noise rock,9
downtempo,9
french metal,9
chanson française,9
avant-garde metal,9
paganism,9
misanthropy,9
industrial metal,8
hip-hop,8
experimental rock,8
trip hop,8
rap,8
world,8
dark ambient,8
blues,8
synthwave,8
industrial,8
funeral doom metal,7
drone,7
depressive black metal,7
electronica,7
folk metal,7
folk rock,7
history,7
todo-works,7
symphonic prog,7
soul,7
melodic black metal,7
electropop,6
depression,6
desert rock,6
space rock,6
art rock,6
avant-garde,6
blues rock,6
technical death metal,6
metalcore,6
math rock,6
krautrock,6
indie,6
house,6
grindcore,6
classical,6
garage punk,6
synthpop,5
symphonic metal,5
anti-christianity,5
acoustic,5
progressive death metal,5
dance and electronica,5
epic black metal,5
philosophy,5
techno,5
screamo,5
violence,5
evil,5
esotericism,5
groove metal,5
dance,5
jazz rock,5
despair,5
fuzz,5
oi,4
brutal death metal,4
medieval,4
jazz fusion,4
post-black metal,4
avant-prog,4
european,4
synth-pop,4
hatred,4
hate,4
raw,4
religion,4
garage,4
"80s",4
symphonic black metal,4
alternative metal,4
string quartet,4
blasphemy,4
dark wave,4
mysticism,4
breton folk music,3
grunge,3
lo-fi,3
zeuhl,3
lyon,3
electronic rock,3
sadness,3
post rock,3
paris,3
nu disco,3
electro rock,3
minimal synth,3
oi!,3
fusion,3
soundtrack,3
spirituality,3
nu metal,3
swing,3
new rave,3
disgust,3
french house,3
pagan black metal,3
deep house,3
drum and bass,3
death-doom metal,3
occult rock,3
atmospheric,3
darkwave,3
progressive,3
psychobilly,3
power trio,3
celtic rock,3
anti-religion,3
rap metal,3
suicide,3
rapcore,3
suffering,3
fantasy,3
neoclassical darkwave,3
power metal,3
dissonant black metal,2
"90s",2
_edit,2
afro,2
alcohol,2
ancient times,2
anti-abrahamic religions,2
anti-religious,2
antoine bigot,2
antoine bisou,2
art pop,2
atmospheric metal,2
blackgaze,2
boom bap,2
brass band,2
breton celtic folk music,2
canterbury scene,2
chanson alternative,2
classic pop and rock,2
cold wave,2
composer,2
compositeur,2
creative commons,2
crossover thrash,2
darksynth,2
death doom metal,2
decay,2
dissonant,2
dream pop,2
dreams,2
drone metal,2
dubstep,2
duo,2
edm,2
electro house,2
electro pop,2
electroclash,2
electropunk,2
film score,2
folk pop,2
french electro,2
french hip hop,2
french touch,2
frenchcore,2
genocide,2
goregrind,2
gothic rock,2
gypsy jazz,2
hard,2
heavy psych,2
horror,2
idm,2
indie folk,2
indietronica,2
jazz manouche,2
latin,2
lille,2
literature,2
madness,2
math metal,2
melancholy,2
metaphysics,2
microqlima,2
minimal,2
minimal techno,2
minimalism,2
mythology,2
neo soul,2
neo-psychedelia,2
neoclassical,2
neofolk,2
new age,2
nouvelle chanson française,2
occitan,2
occult,2
occult metal,2
pop folk,2
pop punk,2
post,2
post hardcore,2
power,2
progressive folk,2
psychedelic folk,2
psychedelic pop,2
r&b,2
ragga,2
raggamuffin,2
rap rock,2
riot grrrl,2
rock and indie,2
rock in opposition,2
rocksteady,2
satan,2
solitude,2
sorrow,2
space,2
speed metal,2
synth pop,2
taiko,2
theology,2
turntablism,2
universe,2
viking metal,2
和太鼓,2
eurovision 2022 artists,1
eurovision 2024 artists,1
cut-up,1
evilness,1
exodus,1
curses,1
cultural heritage,1
extreme progressive metal,1
fail,1
fairies,1
faith,1
crossover prog,1
fascist,1
fatalism,1
fate,1
fears,1
female fronted metal band,1
festive,1
fictional,1
field recording,1
afro-beat,1
flamenco,1
flamenco pop,1
flibuste,1
flibustier,1
creeque alley,1
country,1
folk music,1
afro soul,1
cosmos,1
folktronica,1
fr,1
cosmogonies,1
franche-comté,1
cosmicism,1
cosmic,1
free folk,1
free improvisation,1
free rock,1
contempt,1
french band,1
french cold wave,1
synthwave 80s,1
french emo,1
french folk music,1
french hardcore,1
world war i,1
french history,1
contemporary r&b,1
french medieval mythologies,1
contemporary jazz,1
french metal band,1
conscious hip hop,1
french rap,1
french screamo,1
french string quartet,1
french techno,1
tango,1
tech,1
frozen worlds,1
comedy rock,1
funeral/doom/death-metal,1
comedy,1
funk rock,1
funk soul,1
funk-jazz,1
funky house,1
collapse of civilizations,1
future house,1
coldpsych,1
fuzz rock,1
game,1
gangsta rap,1
cold pop,1
cold,1
club arc en ciel live 1973,1
garage rock revival,1
tech house,1
genres,1
ghosts,1
glam metal,1
glory,1
gnawa,1
gnosticism,1
gore'n'roll,1
tech trance,1
goth,1
gothic doom metal,1
cliché,1
afro kraut,1
green vaughan,1
classic rock,1
groove,1
cinematic,1
christian rock,1
guitar,1
